A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
2705.4277,665.5657,2679.3648,2846.2629,2650.3658,665.5657,3600,180,42.41818182,86,4,35.14026,40.85844,55,0.05,0.4188889,0.016081871345029242,3
46503.5489,300000.0,300000.0,17322.0234,14487.9187,14487.9187,3600,180,45.96363636,104,7,42.211690000000004,37.53247,55,0.05,0.45916670000000004,0.016081871345029242,1
3199.2999,300000.0,3884.5423,2956.4605,3024.9911,2956.4605,3600,180,40.63333333,84,1,38.51639,39.93825,60,0.05,0.435,0.017543859649122806,4
5820.1202,300000.0,3537.7225,7738.1931,4610.6756,3537.7225,3600,180,38.11666667,102,1,38.55082,39.68907,60,0.05,0.39527779999999996,0.017543859649122806,6
2557.6921,95369.9206,300000.0,2212.8646,2070.7053,2070.7053,3600,180,39.98333333,85,6,40.57705,38.2541,60,0.05,0.45722219999999997,0.017543859649122806,4
300000.0,300000.0,300000.0,64996.9463,99524.7605,64996.9463,3600,180,38.38461538,109,4,36.98088,39.53287,65,0.05,0.44888890000000004,0.019005847953216373,5
2340.2219,234.3647,2400.7879,2185.2402,2174.2143,234.3647,3600,180,35.10769231,90,3,38.48392,39.379020000000004,65,0.05,0.4441667,0.019005847953216373,6
4528.735,500.4745,4509.3866,4468.347,4457.7437,500.4745,3600,180,37.9,87,3,39.70463,39.35735,70,0.05,0.48777780000000004,0.02046783625730994,3
2777.9702,628.1876,2780.2451,2770.1676,2723.0937,628.1876,3600,180,39.6,80,9,38.43461,38.54487,70,0.05,0.4913889,0.02046783625730994,7
3136.8323,76169.2949,66802.3292,3281.2587,3057.7292,3057.7292,3600,180,40.98571429,95,5,36.668409999999994,39.92435,70,0.05,0.4825,0.02046783625730994,4
6668.7506,300000.0,300000.0,5805.9881,5173.0493,5173.0493,3600,180,42.22666667,98,4,39.82456,41.32561,75,0.05,0.545,0.02192982456140351,6
16527.167,300000.0,300000.0,5991.3284,9210.6603,5991.3284,3600,180,39.61333333,86,9,40.33965,37.924209999999995,75,0.05,0.5030555999999999,0.02192982456140351,3
11336.7694,300000.0,300000.0,4838.9736,7281.4808,4838.9736,3600,180,41.21333333,90,7,38.55509,38.73965,75,0.05,0.4966667,0.02192982456140351,2
10542.587,300000.0,300000.0,6270.8976,9833.8497,6270.8976,3600,180,39.1,87,3,38.52623,40.66451,80,0.05,0.5080555999999999,0.023391812865497075,5
32941.7107,300000.0,300000.0,7836.5451,23172.0742,7836.5451,3600,180,38.625,101,8,38.657709999999994,38.825,80,0.05,0.4977778000000001,0.023391812865497075,1
300000.0,300000.0,12850.2142,29068.5752,300000.0,12850.2142,3600,180,38.23529412,94,1,40.55048,38.30753,85,0.05,0.5319444999999999,0.024853801169590642,2
300000.0,300000.0,300000.0,20817.4803,136036.3317,20817.4803,3600,180,40.71764706,93,5,39.25034,36.83119,85,0.05,0.5491666999999999,0.024853801169590642,5
8078.6313,300000.0,300000.0,7673.6683,7065.7784,7065.7784,3600,180,37.42352941,93,5,38.09795,38.95048,85,0.05,0.5258333000000001,0.024853801169590642,6
7.699700002,12.3055,9.810899999,10.4623,10.0459,7.699700002,3600,360,36.0,62,8,25.86667000000001,35.6,5,0.1,0.05,0.0015432098765432098,12
1.783300001,0.975000001,1.991600003,2.1366000030000003,2.161800001,0.975000001,3600,360,25.4,37,16,16.4,20.933329999999998,5,0.1,0.03444444,0.0015432098765432098,12
3.1751000019999998,8.053300001,8.629000001,8.212099999,7.0264,3.1751000019999998,3600,360,41.2,54,29,16.26667,37.33333,5,0.1,0.05777778,0.0015432098765432098,16
27.9901,1.3343999979999999,26.3543,37.4563,35.7955,1.3343999979999999,3600,360,43.8,68,11,38.32727,27.85455,10,0.1,0.1136111,0.00308641975308642,16
28.2238,2.308699999,29.5059,28.7187,44.2869,2.308699999,3600,360,39.6,75,6,33.89091,36.98182,10,0.1,0.105,0.00308641975308642,16
36.9556,8.329600003,36.8394,37.9025,36.4942,8.329600003,3600,360,41.8,80,4,34.52727,36.30909000000001,10,0.1,0.1141667,0.00308641975308642,20
65.764,6.4756,101.3066,74.9067,58.6234,6.4756,3600,360,43.8,78,17,33.83333,32.98333,15,0.1,0.1658333,0.0046296296296296285,22
56.4641,27.2594,64.112,71.6682,56.6283,27.2594,3600,360,38.13333333,81,4,40.85,32.3,15,0.1,0.13777779999999998,0.0046296296296296285,20
86.9224,35.7782,111.3514,101.8583,94.5615,35.7782,3600,360,47.2,102,8,35.31667,36.85,15,0.1,0.1647222,0.0046296296296296285,17
